날짜,매출액,매출건수,객단가,카드매출,현금매출,지출_재료비,지출_인건비,지출_임대료,지출_공과금
2026-04-01,980000,81,12099,764400,215600,411600,48333,73333,12666
2026-04-02,980000,78,12564,764400,215600,411600,48333,73333,12666
2026-04-03,1323000,101,13099,1031940,291060,555660,48333,73333,12666
2026-04-04,1323000,98,13500,1031940,291060,555660,48333,73333,12666
2026-04-05,1195600,85,14066,932568,263032,502152,48333,73333,12666
2026-04-06,862400,71,12146,672672,189728,362208,48333,73333,12666
2026-04-07,980000,78,12564,764400,215600,411600,48333,73333,12666
2026-04-08,980000,75,13067,764400,215600,411600,48333,73333,12666
2026-04-09,980000,72,13611,764400,215600,411600,48333,73333,12666
2026-04-10,1561140,111,14064,1217689,343451,655678,48333,73333,12681
2026-04-11,1323000,110,12027,1031940,291060,555660,48333,73333,12666
2026-04-12,1195600,95,12585,932568,263032,502152,48333,73333,12666
2026-04-13,862400,66,13067,672672,189728,362208,48333,73333,12666
2026-04-14,980000,72,13611,764400,215600,411600,48333,73333,12666
2026-04-15,980000,70,14000,764400,215600,411600,48333,73333,12666
2026-04-16,980000,81,12099,764400,215600,411600,48333,73333,12666
2026-04-17,1323000,105,12600,1031940,291060,555660,48333,73333,12666
2026-04-18,1323000,101,13099,1031940,291060,555660,48333,73333,12666
2026-04-19,1195600,88,13586,932568,263032,502152,48333,73333,12666
2026-04-20,862400,61,14138,672672,189728,362208,48333,73333,12666
2026-04-21,980000,81,12099,764400,215600,411600,48333,73333,12666
2026-04-22,980000,78,12564,764400,215600,411600,48333,73333,12666
2026-04-23,980000,75,13067,764400,215600,411600,48333,73333,12666
2026-04-24,1323000,98,13500,1031940,291060,555660,48333,73333,12666
2026-04-25,1561140,111,14064,1217689,343451,655678,48333,73333,12681
2026-04-26,1195600,99,12077,932568,263032,502152,48333,73333,12666
2026-04-27,862400,68,12682,672672,189728,362208,48333,73333,12666
2026-04-28,980000,75,13067,764400,215600,411600,48333,73333,12666
2026-04-29,980000,72,13611,764400,215600,411600,48333,73333,12666
2026-04-30,980000,70,14000,764400,215600,411600,48333,73333,12666
