날짜,매출액,매출건수,객단가,카드매출,현금매출,지출_재료비,지출_인건비,지출_임대료,지출_공과금
2026-03-01,1042000,160,6512,854440,187560.0,312600.0,207200,62200,12430
2026-03-02,777000,120,6475,637140,139860.0,233100.0,207200,62200,12430
2026-03-03,806000,124,6500,660920,145080.0,241800.0,207200,62200,12430
2026-03-04,805000,124,6492,660100,144900.0,241500.0,207200,62200,12430
2026-03-05,861000,132,6523,706020,154980.0,258300.0,207200,62200,12430
2026-03-06,1074000,165,6509,880680,193320.0,322200.0,207200,62200,12430
2026-03-07,1106000,170,6506,906920,199080.0,331800.0,207200,62200,12430
2026-03-08,1009000,155,6510,827380,181620.0,302700.0,207200,62200,12430
2026-03-09,846000,130,6508,693720,152280.0,253800.0,207200,62200,12430
2026-03-10,809000,124,6524,663380,145620.0,242700.0,207200,62200,12430
2026-03-11,833000,128,6508,683060,149940.0,249900.0,207200,62200,12430
2026-03-12,867000,133,6519,710940,156060.0,260100.0,207200,62200,12430
2026-03-13,1026000,158,6494,841320,184680.0,307800.0,207200,62200,12430
2026-03-14,1054000,162,6506,864280,189720.0,316200.0,207200,62200,12430
2026-03-15,1118000,172,6500,916760,201240.0,335400.0,207200,62200,12430
2026-03-16,888000,137,6482,728160,159840.0,266400.0,207200,62200,12430
2026-03-17,857000,132,6492,702740,154260.0,257100.0,207200,62200,12430
2026-03-18,901000,139,6482,738820,162180.0,270300.0,207200,62200,12430
2026-03-19,929000,143,6497,761780,167220.0,278700.0,207200,62200,12430
2026-03-20,1058000,163,6491,867560,190440.0,317400.0,207200,62200,12430
2026-03-21,1171000,180,6506,960220,210780.0,351300.0,207200,62200,12430
2026-03-22,1162000,179,6492,952840,209160.0,348600.0,207200,62200,12430
2026-03-23,895000,138,6486,733900,161100.0,268500.0,207200,62200,12430
2026-03-24,879000,135,6511,720780,158220.0,263700.0,207200,62200,12430
2026-03-25,971000,149,6517,796220,174780.0,291300.0,207200,62200,12430
2026-03-26,907000,140,6479,743740,163260.0,272100.0,207200,62200,12430
2026-03-27,1105000,170,6500,906100,198900.0,331500.0,207200,62200,12430
2026-03-28,1110000,171,6491,910200,199800.0,333000.0,207200,62200,12430
2026-03-29,1221000,188,6495,1001220,219780.0,366300.0,207200,62200,12430
2026-03-30,954000,147,6490,782280,171720.0,286200.0,207200,62200,12430
2026-03-31,981000,151,6497,804420,176580.0,294300.0,207200,62200,12430
2026-04-01,976000,150,6507,800320,175680.0,292800.0,207200,62200,12430
2026-04-02,959000,148,6480,786380,172620.0,287700.0,207200,62200,12430
2026-04-03,1266000,195,6492,1038120,227880.0,379800.0,207200,62200,12430
2026-04-04,1186000,182,6516,972520,213480.0,355800.0,207200,62200,12430
2026-04-05,1216000,187,6503,997120,218880.0,364800.0,207200,62200,12430
2026-04-06,1010000,155,6516,828200,181800.0,303000.0,207200,62200,12430
2026-04-07,989000,152,6507,810980,178020.0,296700.0,207200,62200,12430
2026-04-08,1022000,157,6510,838040,183960.0,306600.0,207200,62200,12430
2026-04-09,993000,153,6490,814260,178740.0,297900.0,207200,62200,12430
2026-04-10,1265000,195,6487,1037300,227700.0,379500.0,207200,62200,12430
2026-04-11,1173000,180,6517,961860,211140.0,351900.0,207200,62200,12430
2026-04-12,1205000,185,6514,988100,216900.0,361500.0,207200,62200,12430
2026-04-13,975000,150,6500,799500,175500.0,292500.0,207200,62200,12430
2026-04-14,954000,147,6490,782280,171720.0,286200.0,207200,62200,12430
2026-04-15,977000,150,6513,801140,175860.0,293100.0,207200,62200,12430
2026-04-16,965000,148,6520,791300,173700.0,289500.0,207200,62200,12430
2026-04-17,1238000,190,6516,1015160,222840.0,371400.0,207200,62200,12430
2026-04-18,1298000,200,6490,1064360,233640.0,389400.0,207200,62200,12430
2026-04-19,1261000,194,6500,1034020,226980.0,378300.0,207200,62200,12430
2026-04-20,1014000,156,6500,831480,182520.0,304200.0,207200,62200,12430
2026-04-21,998000,154,6481,818360,179640.0,299400.0,207200,62200,12430
2026-04-22,1009000,155,6510,827380,181620.0,302700.0,207200,62200,12430
2026-04-23,1097000,169,6491,899540,197460.0,329100.0,207200,62200,12430
2026-04-24,1332000,205,6498,1092240,239760.0,399600.0,207200,62200,12430
2026-04-25,1331000,205,6493,1091420,239580.0,399300.0,207200,62200,12430
2026-04-26,1267000,195,6497,1038940,228060.0,380100.0,207200,62200,12430
2026-04-27,1089000,168,6482,892980,196020.0,326700.0,207200,62200,12430
2026-04-28,1021000,157,6503,837220,183780.0,306300.0,207200,62200,12430
2026-04-29,1052000,162,6494,862640,189360.0,315600.0,207200,62200,12430
