날짜,매출액,매출건수,객단가,카드매출,현금매출,지출_재료비,지출_인건비,지출_임대료,지출_공과금
2026-03-01,2289000,13,176077,2174550,114450.0,1030000.0,132700,106100,291860
2026-03-02,3664000,20,183200,3480800,183200.0,1648800.0,132700,106100,291860
2026-03-03,4496000,25,179840,4271200,224800.0,2023200.0,132700,106100,291860
2026-03-04,2117000,12,176417,2011150,105850.0,952600.0,132700,106100,291860
2026-03-05,2931000,16,183188,2784450,146550.0,1319000.0,132700,106100,291860
2026-03-06,1656000,9,184000,1573200,82800.0,745200.0,132700,106100,291860
2026-03-07,2494000,14,178143,2369300,124700.0,1122300.0,132700,106100,291860
2026-03-08,1508000,8,188500,1432600,75400.0,678600.0,132700,106100,291860
2026-03-09,2355000,13,181154,2237250,117750.0,1059800.0,132700,106100,291860
2026-03-10,3045000,17,179118,2892750,152250.0,1370200.0,132700,106100,291860
2026-03-11,2971000,17,174765,2822450,148550.0,1337000.0,132700,106100,291860
2026-03-12,2587000,14,184786,2457650,129350.0,1164200.0,132700,106100,291860
2026-03-13,1505000,8,188125,1429750,75250.0,677200.0,132700,106100,291860
2026-03-14,2581000,14,184357,2451950,129050.0,1161400.0,132700,106100,291860
2026-03-15,1812000,10,181200,1721400,90600.0,815400.0,132700,106100,291860
2026-03-16,4132000,23,179652,3925400,206600.0,1859400.0,132700,106100,291860
2026-03-17,3302000,18,183444,3136900,165100.0,1485900.0,132700,106100,291860
2026-03-18,1971000,11,179182,1872450,98550.0,887000.0,132700,106100,291860
2026-03-19,4491000,25,179640,4266450,224550.0,2021000.0,132700,106100,291860
2026-03-20,2433000,14,173786,2311350,121650.0,1094800.0,132700,106100,291860
2026-03-21,2643000,15,176200,2510850,132150.0,1189400.0,132700,106100,291860
2026-03-22,2573000,14,183786,2444350,128650.0,1157800.0,132700,106100,291860
2026-03-23,4080000,23,177391,3876000,204000.0,1836000.0,132700,106100,291860
2026-03-24,2270000,13,174615,2156500,113500.0,1021500.0,132700,106100,291860
2026-03-25,3114000,17,183176,2958300,155700.0,1401300.0,132700,106100,291860
2026-03-26,2393000,13,184077,2273350,119650.0,1076800.0,132700,106100,291860
2026-03-27,1732000,10,173200,1645400,86600.0,779400.0,132700,106100,291860
2026-03-28,1188000,7,169714,1128600,59400.0,534600.0,132700,106100,291860
2026-03-29,1695000,9,188333,1610250,84750.0,762800.0,132700,106100,291860
2026-03-30,4423000,25,176920,4201850,221150.0,1990400.0,132700,106100,291860
2026-03-31,2521000,14,180071,2394950,126050.0,1134400.0,132700,106100,291860
2026-04-01,3887000,22,176682,3692650,194350.0,1749200.0,132700,106100,291860
2026-04-02,3017000,17,177471,2866150,150850.0,1357600.0,132700,106100,291860
2026-04-03,1759000,10,175900,1671050,87950.0,791600.0,132700,106100,291860
2026-04-04,2601000,14,185786,2470950,130050.0,1170400.0,132700,106100,291860
2026-04-05,2660000,15,177333,2527000,133000.0,1197000.0,132700,106100,291860
2026-04-06,3275000,18,181944,3111250,163750.0,1473800.0,132700,106100,291860
2026-04-07,3700000,21,176190,3515000,185000.0,1665000.0,132700,106100,291860
2026-04-08,2218000,12,184833,2107100,110900.0,998100.0,132700,106100,291860
2026-04-09,2589000,14,184929,2459550,129450.0,1165000.0,132700,106100,291860
2026-04-10,2609000,14,186357,2478550,130450.0,1174000.0,132700,106100,291860
2026-04-11,1995000,11,181364,1895250,99750.0,897800.0,132700,106100,291860
2026-04-12,1936000,11,176000,1839200,96800.0,871200.0,132700,106100,291860
2026-04-13,3763000,21,179190,3574850,188150.0,1693400.0,132700,106100,291860
2026-04-14,1954000,11,177636,1856300,97700.0,879300.0,132700,106100,291860
2026-04-15,3330000,18,185000,3163500,166500.0,1498500.0,132700,106100,291860
2026-04-16,3115000,17,183235,2959250,155750.0,1401800.0,132700,106100,291860
2026-04-17,2416000,13,185846,2295200,120800.0,1087200.0,132700,106100,291860
2026-04-18,1326000,7,189429,1259700,66300.0,596700.0,132700,106100,291860
2026-04-19,2582000,14,184429,2452900,129100.0,1161900.0,132700,106100,291860
2026-04-20,2007000,11,182455,1906650,100350.0,903200.0,132700,106100,291860
2026-04-21,2280000,13,175385,2166000,114000.0,1026000.0,132700,106100,291860
2026-04-22,3343000,19,175947,3175850,167150.0,1504400.0,132700,106100,291860
2026-04-23,3549000,20,177450,3371550,177450.0,1597000.0,132700,106100,291860
2026-04-24,1443000,8,180375,1370850,72150.0,649400.0,132700,106100,291860
2026-04-25,1262000,7,180286,1198900,63100.0,567900.0,132700,106100,291860
2026-04-26,2460000,14,175714,2337000,123000.0,1107000.0,132700,106100,291860
2026-04-27,2428000,13,186769,2306600,121400.0,1092600.0,132700,106100,291860
2026-04-28,3329000,18,184944,3162550,166450.0,1498000.0,132700,106100,291860
2026-04-29,3391000,19,178474,3221450,169550.0,1526000.0,132700,106100,291860
