날짜,매출액,매출건수,객단가,카드매출,현금매출,지출_재료비,지출_인건비,지출_임대료,지출_공과금
2026-03-01,1640000,182,9011,902000,738000.0,623200.0,85400,97600,67070
2026-03-02,1405000,156,9006,772750,632250.0,533900.0,85400,97600,67070
2026-03-03,1363000,151,9026,749650,613350.0,517900.0,85400,97600,67070
2026-03-04,1412000,157,8994,776600,635400.0,536600.0,85400,97600,67070
2026-03-05,1474000,164,8988,810700,663300.0,560100.0,85400,97600,67070
2026-03-06,1511000,168,8994,831050,679950.0,574200.0,85400,97600,67070
2026-03-07,1263000,140,9021,694650,568350.0,479900.0,85400,97600,67070
2026-03-08,1171000,130,9008,644050,526950.0,445000.0,85400,97600,67070
2026-03-09,1229000,137,8971,675950,553050.0,467000.0,85400,97600,67070
2026-03-10,1204000,134,8985,662200,541800.0,457500.0,85400,97600,67070
2026-03-11,1175000,131,8969,646250,528750.0,446500.0,85400,97600,67070
2026-03-12,1472000,164,8976,809600,662400.0,559400.0,85400,97600,67070
2026-03-13,1511000,168,8994,831050,679950.0,574200.0,85400,97600,67070
2026-03-14,1263000,140,9021,694650,568350.0,479900.0,85400,97600,67070
2026-03-15,1403000,156,8994,771650,631350.0,533100.0,85400,97600,67070
2026-03-16,1225000,136,9007,673750,551250.0,465500.0,85400,97600,67070
2026-03-17,1429000,159,8987,785950,643050.0,543000.0,85400,97600,67070
2026-03-18,1240000,138,8986,682000,558000.0,471200.0,85400,97600,67070
2026-03-19,1157000,129,8969,636350,520650.0,439700.0,85400,97600,67070
2026-03-20,1202000,134,8970,661100,540900.0,456800.0,85400,97600,67070
2026-03-21,1328000,148,8973,730400,597600.0,504600.0,85400,97600,67070
2026-03-22,1198000,133,9008,658900,539100.0,455200.0,85400,97600,67070
2026-03-23,1262000,140,9014,694100,567900.0,479600.0,85400,97600,67070
2026-03-24,1379000,153,9013,758450,620550.0,524000.0,85400,97600,67070
2026-03-25,1179000,131,9000,648450,530550.0,448000.0,85400,97600,67070
2026-03-26,1104000,123,8976,607200,496800.0,419500.0,85400,97600,67070
2026-03-27,1469000,163,9012,807950,661050.0,558200.0,85400,97600,67070
2026-03-28,1265000,141,8972,695750,569250.0,480700.0,85400,97600,67070
2026-03-29,1091000,121,9017,600050,490950.0,414600.0,85400,97600,67070
2026-03-30,1018000,113,9009,559900,458100.0,386800.0,85400,97600,67070
2026-03-31,1037000,115,9017,570350,466650.0,394100.0,85400,97600,67070
2026-04-01,1228000,136,9029,675400,552600.0,466600.0,85400,97600,67070
2026-04-02,1284000,143,8979,706200,577800.0,487900.0,85400,97600,67070
2026-04-03,1196000,133,8992,657800,538200.0,454500.0,85400,97600,67070
2026-04-04,1051000,117,8983,578050,472950.0,399400.0,85400,97600,67070
2026-04-05,1169000,130,8992,642950,526050.0,444200.0,85400,97600,67070
2026-04-06,1335000,148,9020,734250,600750.0,507300.0,85400,97600,67070
2026-04-07,1157000,129,8969,636350,520650.0,439700.0,85400,97600,67070
2026-04-08,1313000,146,8993,722150,590850.0,498900.0,85400,97600,67070
2026-04-09,1267000,141,8986,696850,570150.0,481500.0,85400,97600,67070
2026-04-10,1001000,111,9018,550550,450450.0,380400.0,85400,97600,67070
2026-04-11,1264000,140,9029,695200,568800.0,480300.0,85400,97600,67070
2026-04-12,1243000,138,9007,683650,559350.0,472300.0,85400,97600,67070
2026-04-13,1127000,125,9016,619850,507150.0,428300.0,85400,97600,67070
2026-04-14,1025000,114,8991,563750,461250.0,389500.0,85400,97600,67070
2026-04-15,1152000,128,9000,633600,518400.0,437800.0,85400,97600,67070
2026-04-16,961000,107,8981,528550,432450.0,365200.0,85400,97600,67070
2026-04-17,1122000,125,8976,617100,504900.0,426400.0,85400,97600,67070
2026-04-18,1123000,125,8984,617650,505350.0,426700.0,85400,97600,67070
2026-04-19,1299000,144,9021,714450,584550.0,493600.0,85400,97600,67070
2026-04-20,1204000,134,8985,662200,541800.0,457500.0,85400,97600,67070
2026-04-21,989000,110,8991,543950,445050.0,375800.0,85400,97600,67070
2026-04-22,1064000,118,9017,585200,478800.0,404300.0,85400,97600,67070
2026-04-23,950000,106,8962,522500,427500.0,361000.0,85400,97600,67070
2026-04-24,1252000,139,9007,688600,563400.0,475800.0,85400,97600,67070
2026-04-25,1230000,137,8978,676500,553500.0,467400.0,85400,97600,67070
2026-04-26,1024000,114,8982,563200,460800.0,389100.0,85400,97600,67070
2026-04-27,1083000,120,9025,595650,487350.0,411500.0,85400,97600,67070
2026-04-28,1067000,119,8966,586850,480150.0,405500.0,85400,97600,67070
2026-04-29,912000,101,9030,501600,410400.0,346600.0,85400,97600,67070
