날짜,매출액,매출건수,객단가,카드매출,현금매출,지출_재료비,지출_인건비,지출_임대료,지출_공과금
2026-03-01,3267000,142,23007,2286900,980100.0,2025500.0,270900,135400,54180
2026-03-02,2418000,105,23029,1692600,725400.0,1499200.0,270900,135400,54180
2026-03-03,2522000,110,22927,1765400,756600.0,1563600.0,270900,135400,54180
2026-03-04,2416000,105,23010,1691200,724800.0,1497900.0,270900,135400,54180
2026-03-05,2187000,95,23021,1530900,656100.0,1355900.0,270900,135400,54180
2026-03-06,3026000,132,22924,2118200,907800.0,1876100.0,270900,135400,54180
2026-03-07,2856000,124,23032,1999200,856800.0,1770700.0,270900,135400,54180
2026-03-08,3369000,146,23075,2358300,1010700.0,2088800.0,270900,135400,54180
2026-03-09,2570000,112,22946,1799000,771000.0,1593400.0,270900,135400,54180
2026-03-10,2551000,111,22982,1785700,765300.0,1581600.0,270900,135400,54180
2026-03-11,2325000,101,23020,1627500,697500.0,1441500.0,270900,135400,54180
2026-03-12,2217000,96,23094,1551900,665100.0,1374500.0,270900,135400,54180
2026-03-13,3346000,145,23076,2342200,1003800.0,2074500.0,270900,135400,54180
2026-03-14,3386000,147,23034,2370200,1015800.0,2099300.0,270900,135400,54180
2026-03-15,2901000,126,23024,2030700,870300.0,1798600.0,270900,135400,54180
2026-03-16,2406000,105,22914,1684200,721800.0,1491700.0,270900,135400,54180
2026-03-17,2226000,97,22948,1558200,667800.0,1380100.0,270900,135400,54180
2026-03-18,2527000,110,22973,1768900,758100.0,1566700.0,270900,135400,54180
2026-03-19,2530000,110,23000,1771000,759000.0,1568600.0,270900,135400,54180
2026-03-20,2930000,127,23071,2051000,879000.0,1816600.0,270900,135400,54180
2026-03-21,3127000,136,22993,2188900,938100.0,1938700.0,270900,135400,54180
2026-03-22,3170000,138,22971,2219000,951000.0,1965400.0,270900,135400,54180
2026-03-23,2315000,101,22921,1620500,694500.0,1435300.0,270900,135400,54180
2026-03-24,2581000,112,23045,1806700,774300.0,1600200.0,270900,135400,54180
2026-03-25,2386000,104,22942,1670200,715800.0,1479300.0,270900,135400,54180
2026-03-26,2294000,100,22940,1605800,688200.0,1422300.0,270900,135400,54180
2026-03-27,3169000,138,22964,2218300,950700.0,1964800.0,270900,135400,54180
2026-03-28,3278000,143,22923,2294600,983400.0,2032400.0,270900,135400,54180
2026-03-29,2980000,130,22923,2086000,894000.0,1847600.0,270900,135400,54180
2026-03-30,2341000,102,22951,1638700,702300.0,1451400.0,270900,135400,54180
2026-03-31,2640000,115,22957,1848000,792000.0,1636800.0,270900,135400,54180
2026-04-01,2490000,108,23056,1743000,747000.0,1543800.0,270900,135400,54180
2026-04-02,2399000,104,23067,1679300,719700.0,1487400.0,270900,135400,54180
2026-04-03,3164000,138,22928,2214800,949200.0,1961700.0,270900,135400,54180
2026-04-04,2940000,128,22969,2058000,882000.0,1822800.0,270900,135400,54180
2026-04-05,3000000,130,23077,2100000,900000.0,1860000.0,270900,135400,54180
2026-04-06,2358000,103,22893,1650600,707400.0,1462000.0,270900,135400,54180
2026-04-07,2468000,107,23065,1727600,740400.0,1530200.0,270900,135400,54180
2026-04-08,2312000,101,22891,1618400,693600.0,1433400.0,270900,135400,54180
2026-04-09,2309000,100,23090,1616300,692700.0,1431600.0,270900,135400,54180
2026-04-10,2917000,127,22969,2041900,875100.0,1808500.0,270900,135400,54180
2026-04-11,3237000,141,22957,2265900,971100.0,2006900.0,270900,135400,54180
2026-04-12,3009000,131,22969,2106300,902700.0,1865600.0,270900,135400,54180
2026-04-13,2612000,114,22912,1828400,783600.0,1619400.0,270900,135400,54180
2026-04-14,2593000,113,22947,1815100,777900.0,1607700.0,270900,135400,54180
2026-04-15,2248000,98,22939,1573600,674400.0,1393800.0,270900,135400,54180
2026-04-16,2322000,101,22990,1625400,696600.0,1439600.0,270900,135400,54180
2026-04-17,3265000,142,22993,2285500,979500.0,2024300.0,270900,135400,54180
2026-04-18,3007000,131,22954,2104900,902100.0,1864300.0,270900,135400,54180
2026-04-19,2961000,129,22953,2072700,888300.0,1835800.0,270900,135400,54180
2026-04-20,2631000,114,23079,1841700,789300.0,1631200.0,270900,135400,54180
2026-04-21,2472000,107,23103,1730400,741600.0,1532600.0,270900,135400,54180
2026-04-22,2430000,106,22925,1701000,729000.0,1506600.0,270900,135400,54180
2026-04-23,2568000,112,22929,1797600,770400.0,1592200.0,270900,135400,54180
2026-04-24,3352000,146,22959,2346400,1005600.0,2078200.0,270900,135400,54180
2026-04-25,3000000,130,23077,2100000,900000.0,1860000.0,270900,135400,54180
2026-04-26,2948000,128,23031,2063600,884400.0,1827800.0,270900,135400,54180
2026-04-27,2415000,105,23000,1690500,724500.0,1497300.0,270900,135400,54180
2026-04-28,2413000,105,22981,1689100,723900.0,1496100.0,270900,135400,54180
2026-04-29,2433000,106,22953,1703100,729900.0,1508500.0,270900,135400,54180
